ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2014-03-27;;01;F5D11;M63AZ1;20140327;Y;4;AF;;5;1245;1640;;4045;1720;1455;02;1120;55;3;true;false;Kia;RIO Monikäyttöajoneuvo (AF) 4ov 1120cm3;1;6;RIO;05;e11*2007/46*0195*09;02;562;94;35658;351;KNADN515AE;4361973
M1;2014-05-02;;01;JMXXFXX;B66PBX6X66B;20140502;9;4;AF;;5;1355;1789;;4278;1764;1735;01;1598;85;4;false;false;Opel;MOKKA Monikäyttöajoneuvo (AF) 4ov 1598cm3;1;5;MOKKA;05;e4*2007/46*0537*05;01;049;153;38879;026;W0LJC7EE3E;4363555
M1;2014-02-18;;01;BW84;BW848B??;20140218;0;4;AC;;5;1745;2240;;4814;1876;1547;02;1560;84;4;true;false;Volvo;V70 Farmari (AC) 4ov 1560cm3 A;2;6;V70;05;e9*01/116*0065*25;02;257;111;66241;024;YV1BW848BE;4365326
M1;2014-02-14;;01;D;D01;20140214;1;4;AF;;5;1396;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;272;129;54332;678;SJNFEAJ11U;4366730
M1;2014-02-18;;01;M24HM2;OZAAA503;20120126;0;5;AC;;5;1425;1950;1950;4466;1786;1558;01;1595;115;4;true;false;Mercedes-Benz;B 200 Farmari (AC) 5ov 1595cm3 A;2;7;B 200;05;e1*2007/46*0751*01;01;854;145;142989;957;WDD2462431;4368116
M1;2014-10-21;;01;HCCWAQ1;QM6B4008R8KH77MGEM0;20100930;9;4;AC;;;1805;2300;2300;4721;1841;1485;02;2967;176;6;true;false;Audi;AUDI A4 ALLROAD QUATTRO Farmari (AC) 4ov 2967cm3;1;6;AUDI A4 ALLROAD QUATTRO;05;e1*2001/116*0430*17;02;167;189;135776;801;WAUZZZ8K7B;4369779
M1;2014-03-05;;01;D;D01;20140305;9;4;AF;;5;1462;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;609;129;36692;282;SJNFEAJ11U;4371482
M1;2014-06-26;;01;ZWE186(W);ZWE186L-DWXGBW(3R);20140304;9;4;AF;;5;1410;1865;1865;4560;1760;1475;01;1798;73;4;false;true;Toyota;TOYOTA AURIS Monikäyttöajoneuvo (AF) 4ov 1798cm3;3;;TOYOTA AURIS;17;e11*2007/46*0018*06;01;049;92;56422;027;SB1ZS3JE70;4372860
M1;2014-08-28;;05;F5D24;A63AZ1;20140828;0;4;AF;;5;1710;2140;;4440;1855;1645;02;1995;100;4;true;false;Kia;SPORTAGE Monikäyttöajoneuvo (AF) 4ov 1995cm3 A;2;6;SPORTAGE;05;e11*2007/46*0136*10;02;091;179;115164;003;U5YPC813DE;4374720
M1;2014-03-18;;01;ADT270(E);ADT270L-AEFGYW(5H);20140318;6;4;AA;;5;1555;2100;;4710;1810;1480;02;1998;91;4;true;false;Toyota;TOYOTA AVENSIS Sedan (AA) 4ov 1998cm3;1;6;TOYOTA AVENSIS;05;e11*01/116*0331*07;02;790;119;75601;384;SB1BD76L20;4376308
M1;2014-11-03;;01;D;D01;20141103;6;4;AF;;5;1396;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;846;129;;618;SJNFEAJ11U;4377807
M1;2014-05-08;;02;H2S2M1;NZAAA500;20140508;8;4;AC;;5;1735;2275;;4696;1795;1459;02;2143;125;4;true;false;Mercedes-Benz;C 220 CDI 4MATIC Farmari (AC) 4ov 2143cm3 A;2;7;C 220 CDI 4MATIC;05;e1*01/116*0457*24;02;091;147;193568;007;WDD2042841;4380380
M1;2014-04-25;;01;M1DA1L;5CGAMC;20140425;6;4;AC;;5;1316;1900;;4709;1823;1505;01;998;92;3;true;false;Ford;FOCUS Farmari (AC) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*11;01;560;117;148780;163;WF0LXXGCBL;4382074
